"","vID","Observation.id","Sample","Observation_id","Sex","Nest_ID","Brood_ID","Month","Julian_date","Year","TA","Habitat","First_egg_Julian","Hatch_Julian","Fledge_Julian","Exact_age_chick","Peeped_chick_count","Max_number_eggs","Max_number_chicks","Proportion_hatched","Chicks_fledged","Proportion_fledged","Nest_fate","Nest_fate_certainty","Oldest_nestling","Number_chick_mortalities","Percent_chick_mortalities","Chicks_visible.","With_bpk.","Start_time","Early_or_late","Nearest_neighbor","Distance_nearest_neighbor_m","Length_usable","Video_number","Subject","feeding","cleaning","Length_total","brooding_sec","Std_jdate","brooding_min"
"47","146.SWOP","2018-07-28_18CHoudini_A_930","2018-07-28_18CHoudini_A_930.SWOP","2018-07-28_18CHoudini.A_930","female","18C Houdini","Houdini","July",209,2018,"18C","Savanna",NA,198,NA,11,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,930,"early","18C Gum",102.7,64,146,"SWOP",11,0,163,222.621,1.65616588255502,3.71035
"48","146.YOUS","2018-07-28_18CHoudini_A_930","2018-07-28_18CHoudini_A_930.YOUS","2018-07-28_18CHoudini.A_930","male","18C Houdini","Houdini","July",209,2018,"18C","Savanna",NA,198,NA,11,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,930,"early","18C Gum",102.7,64,146,"YOUS",9,3,163,547.717,1.65616588255502,9.12861666666667
"49","147.POPS","2018-08-08_18CTimber_A_1c_900","2018-08-08_18CTimber_A_1c_900.POPS","2018-08-08_18CTimber.A_1c_900","male","18C Timber","Timber_brd2","August",220,2018,"18C","CC",NA,206,NA,14,1,5,2,0.4,NA,NA,NA,NA,NA,NA,NA,0,0,900,"early","PNB 18CB",291.4,64,147,"POPS",7,5,201,0,2.44748066234724,0
"50","147.WSPR","2018-08-08_18CTimber_A_1c_900","2018-08-08_18CTimber_A_1c_900.WSPR","2018-08-08_18CTimber.A_1c_900","female","18C Timber","Timber_brd2","August",220,2018,"18C","CC",NA,206,NA,14,1,5,2,0.4,NA,NA,NA,NA,NA,NA,NA,0,0,900,"early","PNB 18CB",291.4,64,147,"WSPR",10,4,201,0,2.44748066234724,0
"51","64.RYSG","2017-06-26_REC_r5_PN17REC1_B","2017-06-26_REC_r5_PN17REC1_B.RYSG","2017-06-26_REC_r5_PN17REC1.B","male","PN17 REC1","REC1_brd1","June",177,2017,"REC","CC",157,170,195,7,3,NA,3,NA,0,0,"Failed","Certain",18,3,1,0,0,1213,"late","N17 REC3",67.4,64,64,"RYSG",30,11,200,1097.379,-0.64584074956779,18.28965
"52","64.SUOB","2017-06-26_REC_r5_PN17REC1_B","2017-06-26_REC_r5_PN17REC1_B.SUOB","2017-06-26_REC_r5_PN17REC1.B","female","PN17 REC1","REC1_brd1","June",177,2017,"REC","CC",157,170,195,7,3,NA,3,NA,0,0,"Failed","Certain",18,3,1,0,0,1213,"late","N17 REC3",67.4,64,64,"SUOB",37,0,200,0,-0.64584074956779,0
"53","65.GRGS","2017-06-27_5A_r5_NB5A4_B","2017-06-27_5A_r5_NB5A4_B.GRGS","2017-06-27_5A_r5_NB5A4.B","male","NB 5A4","NB5A4_brd1","June",178,2017,"05A","Savanna",140,153,178,25,1,NA,NA,NA,1,NA,"Fledge","Uncertain",25,NA,NA,1,0,935,"early","PNB 5B3",65.1,63,65,"GRGS",5,0,128,0,-0.573903042313952,0
"54","65.SURO","2017-06-27_5A_r5_NB5A4_B","2017-06-27_5A_r5_NB5A4_B.SURO","2017-06-27_5A_r5_NB5A4.B","female","NB 5A4","NB5A4_brd1","June",178,2017,"05A","Savanna",140,153,178,25,1,NA,NA,NA,1,NA,"Fledge","Uncertain",25,NA,NA,1,0,935,"early","PNB 5B3",65.1,63,65,"SURO",8,0,128,0,-0.573903042313952,0
"55","67.OSGR","2017-06-27_5B_r5_NB5B5_C","2017-06-27_5B_r5_NB5B5_C.OSGR","2017-06-27_5B_r5_NB5B5.C","male","NB 5B5","NB5B5_brd1","June",178,2017,"05B","Savanna",145,158,183,20,3,NA,NA,NA,3,NA,"Fledge","Uncertain",NA,0,NA,1,0,1130,"late","NB 5A",50.2,36,67,"OSGR",44,8,144,0,-0.573903042313952,0
"56","67.OSGR_mate","2017-06-27_5B_r5_NB5B5_A","2017-06-27_5B_r5_NB5B5_A.OSGR_mate","2017-06-27_5B_r5_NB5B5.A","female","NB 5B5","NB5B5_brd1","June",178,2017,"05B","Savanna",145,158,183,20,3,NA,NA,NA,3,NA,"Fledge","Uncertain",NA,0,NA,1,0,942,"early","NB 5A",50.2,44,67,"OSGR_mate",19,0,144,0,-0.573903042313952,0
